"ID","","","","","","","","","","","","TaxonLevel","","","","","","","","","","","","","","","","","","","","","","<i>Genus Species </i>"
"10400128","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>perplexa</i>","<i>pahea</i> <i>phaea</i>","","","","<i>Micoureus phaeus </i>"
"10400129","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>germana</i> <i>parda</i> <i>rutteri</i> <i>rapposa</i> <i>mapiriensis</i>","","","","","<i>Micoureus regina </i>"
"10400130","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Micoureus regina </i>"
"10400131","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Micoureus regina </i>"
"10400132","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Micoureus regina </i>"
"10400133","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Monodelphis brachyura</i> <i>Didelphys brachyuros</i> <i>Didelphis brevicaudata</i>","","","","","<i>Hemiurus</i> <i>Microdelphys</i> <i>Minuania</i> <i>Monodelphiops</i> <i>Peramys</i>","<i>Microdidelphys</i> <i>Microdelphys</i>","","","",""
"10400134","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>melanops</i> <i>peruvianus</i>","<i>peruvianus</i>","","","","<i>Monodelphis adusta </i>"
"10400135","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>brasiliensis</i> <i>brasiliensis</i> <i>in</i> <i>trilineata</i> <i>tristriata</i>","<i>tristriata </i> <i>nomen nudum</i> <i>Microdelphys tristriatus</i> <i>Didelphys tristriata</i> <i>Sorex americanus</i> <i>Microdelphys</i>","","","","<i>Monodelphis americana </i>"
"10400136","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>brachyuros</i> <i>dorsalis</i> <i>hunteri</i> <i>orinoci</i> <i>sebae</i> <i>surinamensis</i> <i>touan</i> <i>touan</i> <i>touan</i> <i>in</i> <i>tricolor</i>","<i>orinoci</i> <i>brachyura</i> <i>rachyuros</i>","","","","<i>Monodelphis brevicaudata </i>"
"10400137","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>fosteri</i>","<i>Peramys brachyurus</i> <i>Didelphys dimidiata</i> <i>Peramys</i> <i>Didelphys dimidiata</i> <i>Minuania</i> <i>Minuania</i> <i>Peramys</i>","","","","<i>Monodelphis dimidiata </i>"
"10400138","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>concolor</i>","","","","","<i>Monodelphis domestica </i>"
"10400139","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>M</i> <i>touan</i>","","","","<i>Monodelphis emiliae </i>"
"10400140","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Monodelphis glirina </i>"
"10400141","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","<i>a</i>","","","","<i>M</i> <i>americana</i>","","","","<i>Monodelphis iheringi </i>"
"10400142","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Monodelphis kunsi </i>"
"10400143","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>a</i>","","","","<i>Monodelphis maraxina </i>"
"10400144","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>M</i> <i>adusta</i>","","","","<i>Monodelphis osgoodi </i>"
"10400145","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>M. brevicaudata</i>","","","","<i>Monodelphis palliolata </i>"
"10400146","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Monodelphis rubida </i>"
"10400147","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Monodelphis scalops </i>"
"10400148","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>henseli</i> <i>itatiayae</i> <i>lundi</i> <i>paulensis</i>","<i>Monodelphis sorex</i> <i>brevicaudis</i> <i>wagneri</i> <i>sorex</i> <i>brevicaudis</i> <i>sorex</i> <i>brevicaudis</i> <i>wagneri</i> <i>nomina oblita</i> <i>sorex</i> <i>Monodelphis </i> <i>Microdelphys sorex</i> <i>Monodelphiops</i>","","","","<i>Monodelphis sorex </i>"
"10400149","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Monodelphis theresa </i>"
"10400150","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>goyana</i>","<i>M. rubida</i> <i>a</i>","","","","<i>Monodelphis umbristriata </i>"
"10400151","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Monodelphis unistriata </i>"
"10400152","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Didelphis opossum</i>","","","","","<i>Gamba</i> <i>Hylothylax</i> <i>Metachirops</i> <i>Philander</i> <i>Sarigua</i>","<i>Metachirops</i> <i>Philander</i>","","","",""
"10400153","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>nigratus</i>","","","","","<i>Philander andersoni </i>"
"10400154","","","","","","","","","","","","SPECIES","","","","","","","<i>In</i>","","","","","","","","","","<i>azaricus</i> <i>quica</i> <i>superciliaris</i>","<i>P</i> <i>opossum</i> <i>frenata</i> <i>superciliaris</i> <i>nomina nuda</i> <i>quichua</i> <i>quica</i> <i>Didelphis quica</i> <i>P. frenatus</i> <i>Metachirops</i>","","","","<i>Philander frenatus </i>"
"10400155","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>P. andersoni</i> <i>mcilhenyi</i> <i>mcilhennyi</i>","","","","<i>Philander mcilhennyi </i>"
"10400156","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>austroamericana</i> <i>virginianus</i> <i> <b>canus</b></i> <i>crucialis</i> <i>fuscogriseus</i> <i>grisescens</i> <i>melantho</i> <i>pallidus</i> <i>melanurus</i>","<i>Metachirops opossum</i> <i>D</i> <i>larvata</i> <i>nomen nudum</i> <i>Didelphis opossum</i> <i>Holothylax</i>","","","","<i>Philander opossum </i>"
"10400157","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Philander opossum </i>"
"10400158","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Philander opossum </i>"
"10400159","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Philander opossum </i>"
"10400160","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Philander opossum </i>"
"10400161","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Didelphis elegans</i>","","","","","<i>Grymaeomys</i> <i>Microdelphys</i> <i>Sarigua</i>","<i>Marmosa</i> <i>Thulamys</i> <i>Thylamys</i>","","","",""
"10400162","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>T. elegans </i>","","","","<i>Thylamys cinderella </i>"
"10400163","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>coquimbensis</i> <i>soricinus</i>","<i>hortenis</i> <i>nomen nudum</i>","","","","<i>Thylamys elegans </i>"
"10400164","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>T. pusillus</i>","","","","<i>Thylamys karimii </i>"
"10400165","","","","","","","","","","","","SPECIES","","","","","","","<i>In</i>","","","","","","","","","","<i>grisea</i>","<i>T</i> <i>griseus</i> <i>macroura</i> <i>nomen nudum</i>","","","","<i>Thylamys macrurus </i>"
"10400166","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>bruchi</i> <i>fenestrae</i> <i>pulchella</i>","","","","","<i>Thylamys pallidior </i>"
"10400167","","","","","","","","","","","","SPECIES","","","","","","","<i>in</i>","","","","","","","","","","<i>citella</i> <i>marmota</i> <i>nana</i> <i>verax</i>","<i>nana</i> <i>nomen nudum</i> <i>marmota</i>","","","","<i>Thylamys pusillus </i>"
"10400168","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>T. elegans</i>","","","","<i>Thylamys sponsorius </i>"
"10400169","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>T. elegans</i>","","","","<i>Thylamys tatei </i>"
"10400170","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>pimelura</i>","","","","","<i>Thylamys velutinus </i>"
"10400171","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>janetta</i>","<i>T. elegans</i>","","","","<i>Thylamys venustus </i>"
"10400172","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Didelphis (Micoureus) canescens</i>","","","","","","<i>Marmosa</i>","","","",""
"10400173","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","<i>Marmosa canescens</i>","<i>insularis</i> <i>oaxacae</i> <i>sinaloae</i> <i>gaumeri</i>","<i>Marmosa canescens</i> <i>T. canescens</i>","","","","<i>Tlacuatzin canescens </i>"
"10400174","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Tlacuatzin canescens </i>"
"10400175","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Tlacuatzin canescens </i>"
"10500001","","","","","","","","","","","","ORDER","","","","","","","","","","","","","","","","","","","","","",""
"10500002","","","","","","","","","","","","FAMILY","","","","","","","","","","","","","","","","","","","","","",""
"10500003","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Hyracodon fuliginosus</i>","","","","","<i>Hyracodon</i>","<i>Coenolestes</i> <i>Caenolestes</i>","","","",""
"10500004","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Caenolestes caniventer </i>"
"10500005","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Caenolestes condorensis </i>"
"10500006","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>barbarensis</i>","","","","","<i>Caenolestes convelatus </i>"
"10500007","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Caenolestes convelatus </i>"
"10500008","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Caenolestes convelatus </i>"
"10500009","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>tatei</i> <i>centralis</i> <i>obscurus</i>","","","","","<i>Caenolestes fuliginosus </i>"
"10500010","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Caenolestes fuliginosus </i>"
"10500011","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Caenolestes fuliginosus </i>"
"10500012","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Caenolestes fuliginosus </i>"
"10500013","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Orolestes inca</i>","","","","","<i>Cryptolestes</i> <i>Orolestes</i>","<i>Lestoros</i> <i>Cryptolestes</i> <i>Orolestes</i> <i>Orolestes</i>","","","",""
"10500014","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>gracilis</i>","","","","","<i>Lestoros inca </i>"
"10500015","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Rhyncholestes raphanurus</i>","","","","","","","","","",""
"10500016","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>continentalis</i>","","","","","<i>Rhyncholestes raphanurus </i>"
"10500017","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Rhyncholestes raphanurus </i>"
"10500018","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Rhyncholestes raphanurus </i>"
"10600001","","","","","","","","","","","","ORDER","","","","","","","","","","","","","","","","","","","","","",""
"10600002","","","","","","","","","","","","FAMILY","","","","","","","","","","","","","","","","","","","","","",""
"10600003","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Dromiciops gliroides</i>","","","","","","","","","",""
"10600004","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>australis</i> <i>Didelphys australis</i>","<i>b</i> <i>D. australis</i>","","","","<i>Dromiciops gliroides </i>"
"10700001","","","","","","","","","","","","ORDER","","","","<i>in </i>","","","","","","","","","","","","","","","","","",""
"10700002","","","","","","","","","","","","FAMILY","","","","","","","","","","","","","","","","","","","","","",""
"10700003","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Psammoryctes typhlops</i>","","","","","<i>Neoryctes</i> <i>Psammoryctes </i>","","","","",""
"10700004","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","<i>N. typhlops</i>","","","","<i>Notoryctes caurinus </i>"
"10700005","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Notoryctes typhlops </i>"
"10800001","","","","","","","","","","","","ORDER","","","","","","","","","","","","","","","","","","<i>b</i> <i>b</i>","","","",""
"10800002","","","","","","","","","","","","FAMILY","","","","","","","","","","","","","","","","","","<i>b</i>","","","",""
"10800003","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Didelphis cynocephala</i>","","","","","<i>Lycaon</i> <i>Lycaon</i> <i>Paracyon </i> <i>Peralopex </i>","","","","",""
"10800004","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>breviceps</i> <i>communis </i> <i>harrisii </i> <i>lucocephalus </i> <i> striatus </i>","","","","","<i>Thylacinus cynocephalus </i>"
"10800005","","","","","","","","","","","","FAMILY","","","","","","","","","","","","","","","","","","<i>b</i>","","","",""
"10800006","","","","","","","","","","","","GENUS","","","","","","","","","","","","<i>Myrmecobius fasciatus</i>","","","","","","","","","",""
"10800007","","","","","","","","","","","","SPECIES","","","","","","","","","","","","","","","","","<i>rufus</i>","","","","","<i>Myrmecobius fasciatus </i>"
"10800008","","","","","","","","","","","","SUBSPECIES","","","","","","","","","","","","","","","","","","","","","","<i>Myrmecobius fasciatus </i>"
